gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Topic
M,KW,KuwaIT,lowerlevel,G-02,B,F,Father,20,20,20,100,Yes,Good,Above-7,IT
M,KW,KuwaIT,lowerlevel,G-02,B,F,Father,100,100,60,20,Yes,Good,Under-7,IT
F,KW,KuwaIT,lowerlevel,G-02,B,F,Father,60,80,20,20,Yes,Good,Under-7,IT
M,USA,USA,lowerlevel,G-02,B,F,Father,60,100,100,100,Yes,Good,Under-7,IT
F,KW,KuwaIT,lowerlevel,G-02,B,F,Father,100,60,40,20,No,Good,Above-7,IT
F,KW,KuwaIT,lowerlevel,G-02,B,F,Father,100,100,20,80,No,Bad,Under-7,IT
F,KW,KuwaIT,lowerlevel,G-02,C,F,Father,20,100,20,80,Yes,Good,Under-7,IT
F,KW,KuwaIT,lowerlevel,G-02,B,F,Father,20,20,40,20,No,Bad,Under-7,IT
F,KW,KuwaIT,lowerlevel,G-02,C,F,Father,20,20,20,40,No,Bad,Under-7,IT
M,KW,KuwaIT,lowerlevel,G-02,B,F,Father,60,20,20,60,Yes,Bad,Above-7,IT
M,KW,KuwaIT,lowerlevel,G-02,B,F,Father,60,100,100,100,Yes,Bad,Under-7,IT
F,KW,KuwaIT,lowerlevel,G-02,B,F,Mum,80,100,60,20,Yes,Good,Under-7,IT
F,KW,KuwaIT,lowerlevel,G-02,B,F,Father,20,20,20,20,No,Bad,Above-7,IT
M,KW,KuwaIT,lowerlevel,G-02,B,F,Father,20,20,20,20,No,Bad,Above-7,IT
M,KW,KuwaIT,lowerlevel,G-02,B,F,Father,20,20,20,20,Yes,Good,Above-7,IT
F,KW,KuwaIT,lowerlevel,G-02,B,F,Father,20,20,20,100,Yes,Good,Above-7,IT
F,KW,KuwaIT,lowerlevel,G-02,B,F,Father,20,40,20,100,Yes,Good,Under-7,IT
M,KW,KuwaIT,lowerlevel,G-02,B,F,Father,80,100,60,40,Yes,Bad,Under-7,IT
M,SaudiArabia,SaudiArabia,lowerlevel,G-02,B,F,Father,20,20,20,20,No,Bad,Above-7,IT
M,KW,KuwaIT,lowerlevel,G-02,B,F,Father,100,80,40,20,No,Bad,Under-7,IT
F,Jordan,Jordan,lowerlevel,G-02,B,F,Mum,80,100,60,100,Yes,Good,Under-7,IT
M,KW,KuwaIT,lowerlevel,G-02,C,F,Father,80,100,60,100,No,Good,Under-7,IT
M,KW,KuwaIT,lowerlevel,G-02,B,F,Father,20,20,20,60,No,Bad,Above-7,IT
M,KW,KuwaIT,lowerlevel,G-02,B,F,Father,40,40,20,80,No,Bad,Above-7,IT
M,KW,KuwaIT,lowerlevel,G-02,B,F,Father,20,20,20,60,No,Bad,Above-7,IT
M,KW,KuwaIT,lowerlevel,G-02,B,F,Father,20,20,20,80,Yes,Good,Above-7,IT
F,KW,KuwaIT,lowerlevel,G-02,C,F,Mum,80,100,20,20,Yes,Good,Above-7,IT
F,KW,KuwaIT,lowerlevel,G-02,C,F,Mum,40,40,100,20,No,Good,Under-7,IT
F,KW,KuwaIT,lowerlevel,G-02,C,F,Mum,40,40,40,40,Yes,Good,Above-7,IT
M,KW,KuwaIT,lowerlevel,G-02,C,F,Father,100,100,20,100,No,Bad,Under-7,IT
M,KW,KuwaIT,lowerlevel,G-02,C,F,Mum,40,20,20,60,Yes,Good,Under-7,IT
M,KW,KuwaIT,lowerlevel,G-02,C,F,Mum,20,20,20,40,No,Bad,Above-7,IT
F,KW,KuwaIT,lowerlevel,G-02,B,F,Father,80,100,60,20,Yes,Good,Above-7,IT
F,lebanon,lebanon,lowerlevel,G-02,B,F,Father,80,100,20,20,Yes,Good,Under-7,IT
M,KW,KuwaIT,lowerlevel,G-02,C,F,Father,20,20,20,20,Yes,Bad,Under-7,IT
M,KW,KuwaIT,lowerlevel,G-02,B,F,Father,20,40,20,20,No,Good,Above-7,IT
F,Iran,Iran,lowerlevel,G-02,C,F,Father,20,20,20,60,Yes,Good,Under-7,IT
M,KW,KuwaIT,lowerlevel,G-02,B,F,Father,60,40,20,20,No,Bad,Above-7,IT
M,KW,KuwaIT,lowerlevel,G-02,C,F,Father,20,20,100,20,No,Bad,Under-7,IT
M,KW,KuwaIT,lowerlevel,G-02,B,F,Father,80,100,20,20,Yes,Good,Under-7,IT
F,KW,KuwaIT,lowerlevel,G-02,C,F,Father,20,20,20,40,No,Bad,Above-7,IT
M,Jordan,Jordan,lowerlevel,G-02,C,F,Father,100,60,100,60,Yes,Good,Under-7,IT
M,KW,KuwaIT,lowerlevel,G-02,C,S,Father,20,20,20,20,No,Bad,Above-7,IT
M,KW,KuwaIT,lowerlevel,G-02,A,S,Father,20,100,20,80,Yes,Good,Above-7,IT
M,KW,KuwaIT,MiddleSchool,G-07,A,S,Father,100,100,20,80,Yes,Good,Under-7,Quran
F,Egypt,Egypt,MiddleSchool,G-07,A,S,Mum,80,100,100,80,Yes,Good,Under-7,Quran
F,KW,USA,HighSchool,G-11,A,S,Mum,80,100,100,80,Yes,Good,Under-7,Quran
F,KW,USA,HighSchool,G-11,A,F,Mum,100,100,60,100,No,Bad,Under-7,Quran
F,Jordan,Egypt,MiddleSchool,G-07,A,F,Mum,100,100,100,100,No,Bad,Under-7,Quran
M,Jordan,USA,MiddleSchool,G-07,A,F,Mum,100,100,100,80,No,Bad,Under-7,Quran
M,Tunis,Tunis,MiddleSchool,G-07,A,F,Father,20,100,20,100,Yes,Bad,Above-7,Quran
M,Tunis,Tunis,MiddleSchool,G-07,A,S,Father,20,80,60,20,No,Bad,Above-7,Quran
M,Tunis,Tunis,MiddleSchool,G-07,A,S,Father,20,80,60,20,Yes,Good,Under-7,Quran
M,KW,KuwaIT,MiddleSchool,G-07,A,S,Father,100,100,60,20,Yes,Good,Under-7,Quran
M,KW,KuwaIT,MiddleSchool,G-07,A,S,Father,20,20,20,20,No,Bad,Above-7,Quran
M,Tunis,SaudiArabia,MiddleSchool,G-07,A,S,Father,80,80,60,20,Yes,Bad,Under-7,Quran
F,lebanon,lebanon,MiddleSchool,G-07,A,S,Mum,100,80,60,80,Yes,Good,Under-7,Quran
F,lebanon,lebanon,MiddleSchool,G-07,A,S,Father,20,80,40,40,No,Bad,Under-7,Quran
F,Jordan,Jordan,MiddleSchool,G-07,A,S,Father,100,60,40,100,No,Bad,Under-7,Quran
F,Jordan,lebanon,MiddleSchool,G-07,A,S,Mum,100,80,60,80,Yes,Bad,Under-7,Quran
M,SaudiArabia,SaudiArabia,HighSchool,G-11,A,S,Father,100,100,60,60,Yes,Good,Under-7,Quran
M,SaudiArabia,USA,HighSchool,G-11,A,S,Father,40,80,80,100,Yes,Good,Under-7,Science
F,SaudiArabia,USA,HighSchool,G-11,B,S,Father,100,100,100,100,Yes,Bad,Under-7,Science
M,SaudiArabia,USA,HighSchool,G-11,B,S,Father,20,60,100,100,No,Bad,Above-7,Spanish
M,SaudiArabia,USA,HighSchool,G-11,B,S,Father,80,60,40,60,No,Bad,Above-7,English
M,SaudiArabia,USA,HighSchool,G-11,B,S,Father,80,60,80,100,Yes,Bad,Under-7,Math
F,Tunis,USA,HighSchool,G-11,B,S,Father,80,60,40,60,Yes,Good,Under-7,French
M,Tunis,Tunis,HighSchool,G-11,B,S,Father,80,60,40,100,No,Good,Under-7,Science
M,Tunis,KuwaIT,MiddleSchool,G-07,B,S,Father,40,60,60,20,No,Bad,Above-7,Science
F,KW,KuwaIT,MiddleSchool,G-07,B,S,Father,80,80,60,100,Yes,Good,Under-7,Science
F,Jordan,Jordan,MiddleSchool,G-07,B,S,Mum,100,100,60,60,Yes,Good,Under-7,Science
M,Jordan,Jordan,MiddleSchool,G-07,B,S,Mum,80,100,60,80,No,Bad,Under-7,Science
F,Jordan,Jordan,lowerlevel,G-02,B,S,Mum,80,100,20,80,No,Bad,Under-7,French
F,Jordan,USA,lowerlevel,G-02,B,S,Mum,100,100,100,60,No,Bad,Above-7,French
M,Jordan,Jordan,lowerlevel,G-02,B,S,Mum,60,80,100,20,Yes,Good,Above-7,French
F,Morocco,Morocco,lowerlevel,G-02,B,S,Mum,80,80,80,80,Yes,Good,Under-7,French
M,KW,KuwaIT,lowerlevel,G-02,B,S,Mum,60,100,60,60,No,Bad,Under-7,French
M,Tunis,Tunis,lowerlevel,G-02,B,S,Mum,100,100,100,60,Yes,Good,Under-7,French
M,KW,KuwaIT,lowerlevel,G-02,B,S,Mum,100,60,40,40,Yes,Good,Under-7,French
M,KW,KuwaIT,lowerlevel,G-02,B,S,Mum,40,20,40,40,No,Bad,Under-7,French
M,KW,KuwaIT,lowerlevel,G-02,B,S,Father,100,80,100,40,Yes,Good,Under-7,French
M,KW,KuwaIT,lowerlevel,G-02,B,S,Mum,100,60,40,40,No,Good,Under-7,French
M,Iran,Iran,lowerlevel,G-02,B,S,Mum,100,40,60,20,No,Good,Above-7,French
M,Syria,Syria,lowerlevel,G-02,B,S,Mum,100,60,40,40,Yes,Good,Above-7,French
F,Jordan,Jordan,lowerlevel,G-02,B,S,Father,60,80,80,60,Yes,Bad,Above-7,French
M,Iran,Iran,lowerlevel,G-02,B,S,Father,20,20,20,60,No,Bad,Above-7,French
M,Tunis,Tunis,lowerlevel,G-02,B,S,Mum,100,60,40,40,Yes,Bad,Under-7,French
F,USA,USA,lowerlevel,G-02,B,S,Mum,20,60,100,20,Yes,Bad,Under-7,French
F,lebanon,lebanon,lowerlevel,G-02,B,S,Mum,100,60,40,20,Yes,Bad,Under-7,French
M,lebanon,lebanon,lowerlevel,G-02,B,S,Mum,100,60,100,40,No,Bad,Under-7,French
F,SaudiArabia,SaudiArabia,lowerlevel,G-02,B,S,Father,100,80,80,100,Yes,Bad,Under-7,French
M,Jordan,Jordan,lowerlevel,G-02,B,S,Father,60,80,20,40,No,Bad,Above-7,French
M,KW,KuwaIT,MiddleSchool,G-08,A,S,Mum,100,80,80,60,Yes,Bad,Under-7,Arabic
F,lebanon,lebanon,MiddleSchool,G-08,A,S,Father,40,20,40,60,No,Bad,Under-7,Arabic
M,lebanon,lebanon,MiddleSchool,G-08,A,S,Mum,20,40,40,20,No,Bad,Above-7,Arabic
M,lebanon,Jordan,MiddleSchool,G-08,A,S,Mum,100,80,100,40,Yes,Good,Under-7,Arabic
M,KW,KuwaIT,MiddleSchool,G-08,A,S,Mum,100,20,40,60,Yes,Good,Under-7,Arabic
F,KW,KuwaIT,MiddleSchool,G-08,A,S,Father,100,80,60,60,Yes,Good,Under-7,Arabic
M,KW,KuwaIT,MiddleSchool,G-08,A,S,Mum,80,80,80,60,Yes,Good,Under-7,Arabic
F,KW,KuwaIT,MiddleSchool,G-08,A,S,Father,100,80,20,40,No,Bad,Under-7,Arabic
M,KW,KuwaIT,MiddleSchool,G-08,A,S,Father,40,40,40,60,No,Bad,Under-7,Arabic
M,KW,KuwaIT,MiddleSchool,G-08,A,S,Father,20,40,40,20,Yes,Good,Above-7,Arabic
M,KW,KuwaIT,MiddleSchool,G-08,A,S,Mum,100,100,80,60,Yes,Good,Under-7,Arabic
M,Morocco,Morocco,MiddleSchool,G-08,A,S,Mum,100,80,80,60,No,Bad,Under-7,Arabic
M,Morocco,Morocco,MiddleSchool,G-08,A,S,Mum,60,80,80,40,No,Bad,Under-7,Arabic
M,KW,KuwaIT,MiddleSchool,G-08,A,S,Father,20,60,60,40,Yes,Good,Under-7,Arabic
M,KW,KuwaIT,MiddleSchool,G-08,A,S,Mum,100,80,80,60,Yes,Good,Under-7,Arabic
M,KW,KuwaIT,MiddleSchool,G-08,A,S,Mum,100,80,80,60,No,Bad,Under-7,Arabic
M,Morocco,Morocco,MiddleSchool,G-08,B,S,Father,40,20,60,60,No,Bad,Above-7,Arabic
M,KW,KuwaIT,MiddleSchool,G-08,B,S,Father,60,100,20,20,No,Bad,Under-7,Arabic
M,KW,KuwaIT,MiddleSchool,G-08,B,S,Mum,20,100,60,100,Yes,Bad,Under-7,Arabic
F,lebanon,lebanon,MiddleSchool,G-08,A,S,Mum,60,60,60,60,Yes,Good,Under-7,Arabic
M,KW,KuwaIT,MiddleSchool,G-08,B,S,Father,40,20,20,40,Yes,Good,Under-7,Arabic
F,KW,KuwaIT,MiddleSchool,G-08,B,S,Father,40,60,60,100,Yes,Bad,Under-7,Arabic
M,Jordan,Jordan,MiddleSchool,G-08,B,S,Father,40,20,20,40,No,Bad,Above-7,Arabic
F,SaudiArabia,SaudiArabia,MiddleSchool,G-08,B,S,Mum,80,60,60,40,Yes,Bad,Above-7,Arabic
M,KW,KuwaIT,MiddleSchool,G-08,B,S,Father,80,40,60,20,Yes,Good,Under-7,Arabic
M,KW,KuwaIT,MiddleSchool,G-08,C,S,Father,20,40,60,20,Yes,Good,Under-7,Spanish
M,Tunis,Tunis,MiddleSchool,G-08,C,S,Mum,40,60,60,20,No,Bad,Under-7,Spanish
M,KW,KuwaIT,MiddleSchool,G-08,C,S,Father,80,100,40,100,No,Bad,Under-7,Spanish
M,Jordan,SaudiArabia,MiddleSchool,G-08,C,S,Mum,40,100,100,20,Yes,Good,Under-7,Spanish
M,KW,KuwaIT,MiddleSchool,G-08,C,S,Father,20,80,60,20,No,Bad,Under-7,Spanish
M,Tunis,Tunis,MiddleSchool,G-08,C,S,Mum,100,100,60,20,Yes,Good,Under-7,Spanish
M,Tunis,Tunis,MiddleSchool,G-08,C,S,Father,20,80,40,20,No,Bad,Above-7,Spanish
M,KW,KuwaIT,MiddleSchool,G-08,C,S,Father,20,60,20,20,No,Bad,Above-7,Spanish
M,KW,KuwaIT,MiddleSchool,G-08,C,S,Father,20,40,60,20,No,Good,Above-7,Spanish
M,Iran,Iran,MiddleSchool,G-08,C,S,Mum,40,60,40,80,Yes,Bad,Above-7,Spanish
F,Jordan,KuwaIT,MiddleSchool,G-08,C,S,Father,100,100,100,20,Yes,Good,Under-7,Spanish
M,KW,KuwaIT,MiddleSchool,G-08,C,S,Mum,100,80,60,100,Yes,Bad,Under-7,Spanish
M,KW,KuwaIT,MiddleSchool,G-08,C,S,Mum,60,60,60,40,Yes,Good,Under-7,Spanish
M,lebanon,lebanon,MiddleSchool,G-08,C,S,Father,80,80,60,20,Yes,Good,Under-7,Spanish
M,lebanon,lebanon,MiddleSchool,G-08,C,S,Father,100,60,100,40,No,Good,Under-7,Spanish
M,KW,KuwaIT,MiddleSchool,G-08,B,S,Father,80,80,100,100,Yes,Bad,Under-7,Spanish
M,KW,KuwaIT,MiddleSchool,G-08,A,S,Mum,80,100,20,100,Yes,Good,Under-7,Spanish
M,KW,KuwaIT,MiddleSchool,G-08,B,S,Mum,100,100,40,80,Yes,Bad,Under-7,Spanish
M,KW,KuwaIT,MiddleSchool,G-08,A,S,Mum,80,100,20,40,No,Bad,Under-7,Spanish
M,KW,KuwaIT,MiddleSchool,G-08,B,S,Father,20,20,80,40,No,Bad,Under-7,Spanish
M,KW,KuwaIT,MiddleSchool,G-08,A,S,Father,20,20,20,20,Yes,Good,Under-7,Spanish
M,KW,KuwaIT,HighSchool,G-11,B,S,Mum,80,100,80,100,Yes,Good,Above-7,Math
M,KW,KuwaIT,MiddleSchool,G-08,A,S,Father,20,20,40,20,No,Bad,Above-7,Spanish
M,Iran,Iran,MiddleSchool,G-08,A,S,Mum,60,60,20,40,No,Bad,Above-7,Spanish
M,Syria,Jordan,MiddleSchool,G-08,A,S,Father,20,20,40,100,Yes,Good,Above-7,Spanish
M,Syria,Syria,MiddleSchool,G-07,A,F,Father,20,80,20,60,Yes,Good,Above-7,Quran
F,Jordan,Jordan,MiddleSchool,G-07,B,S,Mum,40,100,60,60,Yes,Good,Above-7,Science
M,KW,KuwaIT,MiddleSchool,G-07,B,S,Mum,40,100,60,80,Yes,Good,Above-7,Science
M,KW,KuwaIT,MiddleSchool,G-07,B,S,Father,20,20,20,40,No,Bad,Above-7,Science
M,Jordan,Jordan,MiddleSchool,G-07,B,S,Father,60,20,20,20,No,Bad,Above-7,Science
M,KW,KuwaIT,MiddleSchool,G-07,B,S,Father,80,100,60,80,Yes,Good,Above-7,Science
F,KW,KuwaIT,MiddleSchool,G-07,B,S,Mum,80,100,60,80,Yes,Good,Above-7,Science
M,Egypt,Egypt,MiddleSchool,G-07,B,S,Mum,100,100,100,80,Yes,Good,Under-7,Science
M,KW,KuwaIT,MiddleSchool,G-07,B,S,Mum,80,100,100,100,Yes,Bad,Under-7,Science
M,Egypt,Egypt,MiddleSchool,G-07,B,S,Father,80,100,60,100,Yes,Good,Under-7,Science
M,KW,KuwaIT,MiddleSchool,G-07,B,S,Father,40,100,20,20,No,Bad,Above-7,Science
M,Egypt,KuwaIT,MiddleSchool,G-07,B,S,Father,20,100,40,60,No,Bad,Above-7,Science
M,KW,KuwaIT,MiddleSchool,G-07,B,S,Mum,80,100,100,100,Yes,Bad,Under-7,IT
F,KW,KuwaIT,MiddleSchool,G-06,A,S,Father,60,100,60,80,Yes,Bad,Under-7,IT
F,KW,KuwaIT,MiddleSchool,G-06,A,S,Father,100,100,80,80,Yes,Good,Under-7,Science
F,KW,KuwaIT,MiddleSchool,G-06,A,S,Father,100,60,100,100,No,Bad,Above-7,Math
F,KW,KuwaIT,MiddleSchool,G-06,A,S,Father,80,100,20,20,No,Bad,Above-7,Quran
M,KW,KuwaIT,lowerlevel,G-04,A,S,Father,80,100,80,100,No,Good,Above-7,IT
M,KW,KuwaIT,lowerlevel,G-04,A,S,Father,20,20,40,100,Yes,Good,Under-7,Math
M,Egypt,Egypt,lowerlevel,G-04,A,S,Mum,20,80,40,20,No,Good,Above-7,English
F,KW,KuwaIT,lowerlevel,G-04,A,S,Father,80,80,100,100,No,Bad,Under-7,Science
M,KW,KuwaIT,lowerlevel,G-04,A,S,Father,40,40,20,60,No,Bad,Above-7,Arabic
M,KW,KuwaIT,lowerlevel,G-04,A,S,Father,60,100,60,80,Yes,Good,Under-7,English
M,KW,KuwaIT,lowerlevel,G-04,A,S,Father,20,20,20,100,Yes,Good,Under-7,History
F,KW,KuwaIT,lowerlevel,G-04,A,S,Mum,100,100,80,100,No,Good,Under-7,History
